,board_size,swine_start,butcher_start,winner,turns
0,12,5,1,butcher,3
1,12,5,1,butcher,4
2,12,5,1,butcher,5
3,12,5,1,butcher,2
4,12,5,1,butcher,2
5,12,5,1,swine,6
6,12,5,1,swine,5
7,12,5,1,butcher,6
8,12,5,1,swine,4
9,12,5,1,butcher,2
10,12,5,4,butcher,5
11,12,5,4,butcher,2
12,12,5,4,butcher,3
13,12,5,4,butcher,2
14,12,5,4,swine,4
15,12,5,4,butcher,3
16,12,5,4,butcher,2
17,12,5,4,swine,5
18,12,5,4,swine,5
19,12,5,4,butcher,3
20,12,7,1,swine,5
21,12,7,1,butcher,5
22,12,7,1,swine,4
23,12,7,1,butcher,2
24,12,7,1,butcher,5
25,12,7,1,swine,5
26,12,7,1,butcher,3
27,12,7,1,swine,6
28,12,7,1,butcher,3
29,12,7,1,butcher,3
30,12,7,4,butcher,3
31,12,7,4,butcher,2
32,12,7,4,butcher,2
33,12,7,4,butcher,6
34,12,7,4,butcher,2
35,12,7,4,swine,3
36,12,7,4,butcher,3
37,12,7,4,butcher,2
38,12,7,4,butcher,2
39,12,7,4,swine,6
40,12,11,1,swine,2
41,12,11,1,swine,2
42,12,11,1,swine,2
43,12,11,1,swine,3
44,12,11,1,swine,3
45,12,11,1,swine,2
46,12,11,1,swine,2
47,12,11,1,swine,2
48,12,11,1,swine,2
49,12,11,1,swine,2
50,12,11,4,swine,3
51,12,11,4,swine,2
52,12,11,4,swine,2
53,12,11,4,swine,2
54,12,11,4,butcher,3
55,12,11,4,swine,3
56,12,11,4,swine,2
57,12,11,4,swine,2
58,12,11,4,swine,2
59,12,11,4,swine,2
60,12,11,7,swine,2
61,12,11,7,butcher,2
62,12,11,7,butcher,2
63,12,11,7,swine,2
64,12,11,7,butcher,2
65,12,11,7,swine,2
66,12,11,7,swine,2
67,12,11,7,swine,2
68,12,11,7,swine,2
69,12,11,7,swine,2
70,16,5,1,butcher,10
71,16,5,1,swine,10
72,16,5,1,butcher,2
73,16,5,1,butcher,2
74,16,5,1,butcher,4
75,16,5,1,butcher,3
76,16,5,1,butcher,2
77,16,5,1,swine,10
78,16,5,1,butcher,2
79,16,5,1,butcher,7
80,16,5,4,butcher,3
81,16,5,4,butcher,2
82,16,5,4,butcher,2
83,16,5,4,butcher,3
84,16,5,4,butcher,2
85,16,5,4,swine,7
86,16,5,4,butcher,2
87,16,5,4,butcher,2
88,16,5,4,swine,8
89,16,5,4,swine,7
90,16,7,1,butcher,6
91,16,7,1,butcher,5
92,16,7,1,swine,6
93,16,7,1,butcher,4
94,16,7,1,butcher,4
95,16,7,1,swine,7
96,16,7,1,butcher,3
97,16,7,1,butcher,3
98,16,7,1,butcher,9
99,16,7,1,butcher,3
100,16,7,4,butcher,4
101,16,7,4,swine,7
102,16,7,4,butcher,2
103,16,7,4,butcher,3
104,16,7,4,butcher,4
105,16,7,4,butcher,2
106,16,7,4,swine,7
107,16,7,4,butcher,2
108,16,7,4,swine,7
109,16,7,4,butcher,2
110,16,11,1,swine,6
111,16,11,1,swine,4
112,16,11,1,butcher,4
